;ACP;IQR;count;mean;median;pol;q1;q3;std
0;all;0.0;250592.0;0.03619429191674116;0.0;POLICIES_buy;0.0;0.0;0.18677329881272342
1;all;1.0;250070.0;0.31033310673011555;0.0;POLICIES_rent;0.0;1.0;0.46262994887636744
2;all;1.0;250015.0;0.32921224726516407;0.0;POLICIES_wage;0.0;1.0;0.469927168309925
3;all;0.0;249323.0;0.17865178904473314;0.0;POLICIES_no_policy;0.0;0.0;0.38306047475020094
4;PROCESSING_ACPS_BELO HORIZONTE;0.0;5487.0;0.09422270821942774;0.0;POLICIES_buy;0.0;0.0;0.2921383053884312
5;PROCESSING_ACPS_BELO HORIZONTE;0.0;5400.0;1.0;1.0;POLICIES_rent;1.0;1.0;0.0
6;PROCESSING_ACPS_BELO HORIZONTE;0.0;5390.0;1.0;1.0;POLICIES_wage;1.0;1.0;0.0
7;PROCESSING_ACPS_BELO HORIZONTE;0.0;5391.0;1.0;1.0;POLICIES_no_policy;1.0;1.0;0.0
8;PROCESSING_ACPS_FORTALEZA;0.0;5332.0;0.012003000750187547;0.0;POLICIES_buy;0.0;0.0;0.10889870854688107
9;PROCESSING_ACPS_FORTALEZA;1.0;5516.0;0.2824510514865845;0.0;POLICIES_rent;0.0;1.0;0.4501915758882071
10;PROCESSING_ACPS_FORTALEZA;1.0;5432.0;0.27871870397643594;0.0;POLICIES_wage;0.0;1.0;0.44836880804771845
11;PROCESSING_ACPS_FORTALEZA;0.0;5397.0;0.13989253288864184;0.0;POLICIES_no_policy;0.0;0.0;0.3468754994672327
12;PROCESSING_ACPS_PORTO ALEGRE;0.0;5301.0;0.0015091492171288435;0.0;POLICIES_buy;0.0;0.0;0.038818445174546634
13;PROCESSING_ACPS_PORTO ALEGRE;0.0;5589.0;0.1812488817319735;0.0;POLICIES_rent;0.0;0.0;0.3852242523555372
14;PROCESSING_ACPS_PORTO ALEGRE;0.0;5478.0;0.18857247170500183;0.0;POLICIES_wage;0.0;0.0;0.39116862683511333
