Ano;Código da Grande Região;Nome da Grande Região;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome da Unidade da Federação;Código do Município;Nome do Município;Região Metropolitana;Código da Mesorregião;Nome da Mesorregião;Código da Microrregião;Nome da Microrregião;Código da Região Geográfica Imediata;Nome da Região Geográfica Imediata;Município da Região Geográfica Imediata;Código da Região Geográfica Intermediária;Nome da Região Geográfica Intermediária;Município da Região Geográfica Intermediária;Código Concentração Urbana;Nome Concentração Urbana;Tipo Concentração Urbana;Código Arranjo Populacional;Nome Arranjo Populacional;Hierarquia Urbana;Hierarquia Urbana (principais categorias);Código da Região Rural;Nome da Região Rural;Região rural (segundo classificação do núcleo);Amazônia Legal;Semiárido;Cidade-Região de São Paulo;"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1000)";"Valor adicionado bruto da Indústria,
a preços correntes
(R$ 1000)";"Valor adicionado bruto dos Serviços,
a preços correntes 
- exceto Administração, defesa, educação e saúde públicas e seguridade social
(R$ 1000)";"Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social, 
a preços correntes
(R$ 1000)";"Valor adicionado bruto total, 
a preços correntes
(R$ 1000)";"Impostos, líquidos de subsídios, sobre produtos, 
a preços correntes
(R$ 1000)";PIB;"Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)";Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto;Atividade com terceiro maior valor adicionado bruto
2019;3;Sudeste;35;SP;São Paulo;3517406;Guaíra;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35010;São Joaquim da Barra;350032;Barretos;do Entorno;3508;Ribeirão Preto;do Entorno;;;;;;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;217602;1572575;1077007;194524;3061708;348827;3410535;83612,04;Indústrias de transformação;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2019;3;Sudeste;35;SP;São Paulo;3513207;Cristais Paulista;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;3516200;Franca/SP;Média concentração urbana;3516200;Franca/SP;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;65617;9722;79452;36664;191454;9012;200466;23226,33;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
2019;3;Sudeste;35;SP;São Paulo;3516200;Franca;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;Polo;3508;Ribeirão Preto;do Entorno;3516200;Franca/SP;Média concentração urbana;3516200;Franca/SP;Centro Subregional A;Centro Subregional;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;74924;1632170;6200182;1261886;9169162;998207;10167369;28787,49;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
2019;3;Sudeste;35;SP;São Paulo;3523701;Itirapuã;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;3516200;Franca/SP;Média concentração urbana;3516200;Franca/SP;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;30092;7204;34315;28356;99967;3272;103238;15885,28;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
2019;3;Sudeste;35;SP;São Paulo;3525409;Jeriquara;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;;;;;;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;49039;6045;27656;17964;100704;2968;103672;32818,09;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2019;3;Sudeste;35;SP;São Paulo;3536307;Patrocínio Paulista;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;3516200;Franca/SP;Média concentração urbana;3516200;Franca/SP;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;200398;137111;236458;62866;636832;65765;702597;47893,48;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Indústrias de transformação
2019;3;Sudeste;35;SP;São Paulo;3537008;Pedregulho;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;;;;;;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;152868;57177;232055;68166;1024860;33196;1058056;63190,13;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2019;3;Sudeste;35;SP;São Paulo;3542701;Restinga;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;3516200;Franca/SP;Média concentração urbana;3516200;Franca/SP;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;47654;33131;50151;34921;165856;11283;177139;23329,23;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2019;3;Sudeste;35;SP;São Paulo;3543105;Ribeirão Corrente;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;3516200;Franca/SP;Média concentração urbana;3516200;Franca/SP;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;68244;7187;40447;25728;141606;3447;145052;30744,46;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2019;3;Sudeste;35;SP;São Paulo;3543600;Rifaina;Aglomeração Urbana de Franca;3502;Ribeirão Preto;35012;Franca;350033;Franca;do Entorno;3508;Ribeirão Preto;do Entorno;;;;;;Centro Local;Centro Local;3502;Região Rural da Capital Regional de Ribeirão Preto;Região Rural de Capital Regional;Não;Não;Não;22111;14511;5145;24227;112299;7939;120237;33132,39;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura
