;p_value;reject;matrix_singular;no_variance
WAGE_IGNORE_UNEMPLOYMENT_True;;equal means;;True
T_LICENSES_PER_REGION_False;0.9389100437978894;equal means;;
T_LICENSES_PER_REGION_True;0.6009677894502057;equal means;;
T_LICENSES_PER_REGION_random;0.5487929040098078;equal means;;
STARTING_DAY_2000-01-01;0.01764811453157967;equal means;;
STARTING_DAY_2010-01-01;0.01764811453157967;equal means;;
PROCESSING_ACPS_ARACAJU;3.5730511791115266e-35;different means;;
PROCESSING_ACPS_BELEM;4.164615096316366e-67;different means;;
PROCESSING_ACPS_BELO HORIZONTE;0.0;different means;;
PROCESSING_ACPS_BRASILIA;0.0;different means;;
PROCESSING_ACPS_CAMPINA GRANDE;8.269848675825218e-15;different means;;
PROCESSING_ACPS_CAMPINAS;0.0;different means;;
PROCESSING_ACPS_CAMPO GRANDE;1.4749091306295096e-11;different means;;
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;1.7774140584174883e-29;different means;;
PROCESSING_ACPS_CAXIAS DO SUL;5.568692401244544e-20;different means;;
PROCESSING_ACPS_CRAJUBAR;4.858552244630819e-18;different means;;
PROCESSING_ACPS_CUIABA;1.9331763376659387e-17;different means;;
PROCESSING_ACPS_CURITIBA;0.0;different means;;
PROCESSING_ACPS_FEIRA DE SANTANA;9.632790512941971e-21;different means;;
PROCESSING_ACPS_FLORIANOPOLIS;1.7985226362045318e-16;different means;;
PROCESSING_ACPS_FORTALEZA;2.250952979372713e-39;different means;;
PROCESSING_ACPS_GOIANIA;7.401641822974918e-23;different means;;
PROCESSING_ACPS_ILHEUS - ITABUNA;3.3814891319066994e-16;different means;;
PROCESSING_ACPS_IPATINGA;2.3626101706815036e-15;different means;;
PROCESSING_ACPS_JOAO PESSOA;6.3288899274735395e-12;different means;;
PROCESSING_ACPS_JOINVILLE;3.917816405911137e-07;different means;;
PROCESSING_ACPS_JUIZ DE FORA;2.131754984545805e-22;different means;;
PROCESSING_ACPS_JUNDIAI;2.2539010840666177e-22;different means;;
PROCESSING_ACPS_LONDRINA;1.3272754464733594e-15;different means;;
PROCESSING_ACPS_MACAPA;5.937715014916595e-22;different means;;
PROCESSING_ACPS_MACEIO;2.925897619889743e-10;different means;;
PROCESSING_ACPS_MANAUS;3.530497869998282e-13;different means;;
PROCESSING_ACPS_MARINGA;7.051625234733554e-08;different means;;
PROCESSING_ACPS_NATAL;3.253999739635642e-27;different means;;
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;2.5794753710365206e-19;different means;;
PROCESSING_ACPS_PELOTAS - RIO GRANDE;9.329161537139346e-09;different means;;
PROCESSING_ACPS_PETROLINA - JUAZEIRO;6.316152468294765e-16;different means;;
PROCESSING_ACPS_PORTO ALEGRE;0.0;different means;;
PROCESSING_ACPS_RECIFE;2.8739496005580534e-20;different means;;
PROCESSING_ACPS_RIBEIRAO PRETO;1.894625984281013e-23;different means;;
PROCESSING_ACPS_RIO DE JANEIRO;1.5984899097087447e-105;different means;;
PROCESSING_ACPS_SALVADOR;3.5702265836985027e-32;different means;;
PROCESSING_ACPS_SANTOS;4.073951108091363e-38;different means;;
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;8.296206255494474e-39;different means;;
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;8.636239730884014e-20;different means;;
PROCESSING_ACPS_SAO LUIS;3.8401619604632034e-27;different means;;
PROCESSING_ACPS_SAO PAULO;3.695039254833209e-210;different means;;
PROCESSING_ACPS_SOROCABA;3.024911423209888e-15;different means;;
PROCESSING_ACPS_TERESINA;3.311762300248789e-22;different means;;
PROCESSING_ACPS_UBERLANDIA;4.663882737361477e-13;different means;;
PROCESSING_ACPS_VITORIA;3.1561314605048415e-16;different means;;
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;7.358374868973361e-18;different means;;
POLICIES_buy;0.0;different means;;
POLICIES_no_policy;0.0;different means;;
POLICIES_rent;0.0;different means;;
POLICIES_wage;0.0;different means;;
INTEREST_fixed;0.7713647768741811;equal means;;
INTEREST_nominal;0.5321986447062659;equal means;;
INTEREST_real;0.738630624261912;equal means;;
FPM_DISTRIBUTION_False;0.28940935135324736;equal means;;
FPM_DISTRIBUTION_True;0.2894093513532681;equal means;;
ALTERNATIVE0_False;0.12609070281662593;equal means;;
ALTERNATIVE0_True;0.12609070281662593;equal means;;
HIRING_SAMPLE_SIZE;0.19884481462943512;equal means;;
LABOR_MARKET;3.2803701211941515e-09;different means;;
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.008414621811893947;equal means;;
MARKUP;0.6176069996519413;equal means;;
MAX_LOAN_TO_VALUE;0.35535801724361604;equal means;;
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.06832657310945543;equal means;;
NEIGHBORHOOD_EFFECT;0.0003153532207517874;different means;;
OFFER_SIZE_ON_PRICE;0.1622468975823147;equal means;;
PCT_DISTANCE_HIRING;4.921693449553335e-12;different means;;
PERCENTAGE_ACTUAL_POP;0.0;different means;;
PERCENTAGE_ENTERING_ESTATE_MARKET;2.0459628599201192e-29;different means;;
PERCENT_CONSTRUCTION_FIRMS;0.05842712388454274;equal means;;
POLICY_COEFFICIENT;0.0004678761962180881;different means;;
POLICY_DAYS;7.544501616834362e-218;different means;;
POLICY_QUANTILE;2.165259186269752e-50;different means;;
PRIVATE_TRANSIT_COST;0.037652116632773014;equal means;;
PRODUCTIVITY_EXPONENT;0.4730350745069688;equal means;;
PRODUCTIVITY_MAGNITUDE_DIVISOR;0.022285231917977367;equal means;;
PUBLIC_TRANSIT_COST;6.629673300995883e-91;different means;;
SIZE_MARKET;0.7256865271670221;equal means;;
STICKY_PRICES;0.7818878421183656;equal means;;
TAX_ESTATE_TRANSACTION;0.5196087905589195;equal means;;
TOTAL_DAYS;7.60469590691911e-122;different means;;
Tree;0.0;different means;;
