Dummy;Non-opt: ABM;Non-opt: sur;Opt: ABM;Opt: sur;Size: ABM;Size: sur
Policy: wage;86.07407407407408;67.07877527348359;13.92592592592592;32.9212247265164;12.18851570964247;25.0015
Policy: rent;89.62962962962962;68.96668932698844;10.37037037037037;31.03331067301155;12.18851570964247;25.007
Jan. 2010;94.19577874818049;78.55027485547342;5.8042212518194995;21.449725144526578;99.24160346695557;50.0081
Alternative0: True;94.2178720319014;78.58491997572118;5.7821279680986;21.415080024278822;99.6208017334778;50.084799999999994
FPM: True;94.2178720319014;78.60411007369828;5.7821279680986;21.39588992630171;99.6208017334778;50.0283
Licenses: True;100.0;78.61710932209766;0.0;21.38289067790234;0.1895991332611;33.2275
Interest: real;94.2178720319014;78.62815754495348;5.7821279680986;21.37184245504652;99.6208017334778;33.3289
Interest: fixed;100.0;78.63066434006728;0.0;21.36933565993272;0.1895991332611;33.3534
Licenses: False;100.0;78.64306802308016;0.0;21.356931976919828;0.1895991332611;33.4313
Licenses: Random;94.2178720319014;78.68223099348553;5.7821279680986;21.31776900651446;99.6208017334778;33.3412
Interest: nominal;100.0;78.68370265654592;0.0;21.316297343454078;0.1895991332611;33.3177
FPM: False;100.0;78.69093907151448;0.0;21.309060928485522;0.37919826652221;49.971700000000006
Alternative0: False;100.0;78.71029265634516;0.0;21.28970734365483;0.37919826652221;49.9152
Jan. 2000;100.0;78.7447566505774;0.0;21.2552433494226;0.75839653304442;49.9919
Policy: none;96.08596641047538;82.13482109552669;3.91403358952462;17.86517890447331;63.43445287107259;24.932299999999998
Policy: buy;97.4074074074074;96.38057080832588;2.59259259259259;3.61942919167411;12.18851570964247;25.059199999999997
