MR;Policy: none;Policy: buy;Policy: rent;Policy: wage
São Paulo;45.75;-0.51;-0.4;2.55
Rio de Janeiro;44.59;-0.06;0.55;0.65
Joinville;39.56;-17.41;4.89;5.51
Campo Grande;38.94;-20.3;6.27;5.73
Pelotas;38.9;-22.48;6.39;6.61
João Pessoa;38.8;-19.95;6.38;5.82
Maceio;38.78;-20.74;6.25;6.25
Maringá;38.54;-19.39;6.51;6.84
Petrolina-Juazeiro;38.51;-18.59;6.02;6.07
Crato;38.35;-22.82;6.42;6.78
Feira de Santana;38.32;-21.31;6.66;6.05
all;38.31;-19.63;7.95;8.68
Cuiabá;38.08;-21.93;6.96;6.72
Uberlandia;38.06;-18.59;6.99;6.82
Sorocaba;38.05;-20.7;7.19;6.93
SJC;38.03;-20.09;6.91;6.43
Manaus;37.82;-21.56;7.67;7.29
Volta Redonda;37.77;-20.41;6.6;7.42
Ipatinga;37.75;-21.81;7.38;7.42
NH-SL;37.75;-22.36;7.06;7.28
Vitória;37.72;-23.02;7.68;7.26
Recife;37.58;-22.28;7.64;7.18
Campina Grande;37.53;-22.75;8.24;7.42
Londrina;37.36;-19.91;7.89;7.66
Natal;37.23;-22.91;7.39;7.77
Florianópolis;37.12;-20.15;8.14;7.81
Ilheus-Itabuna;37.11;-23.08;8.3;8.28
Juiz de Fora;37.03;-18.12;7.97;7.52
Teresina;36.85;-23.3;8.22;8.23
Macapá;36.8;-21.49;8.01;8.35
Ribeirão Preto;36.74;-23.44;8.29;8.28
Aracaju;36.54;-22.87;8.26;8.16
Goiânia;36.53;-24.2;9.05;8.52
Campos;36.5;-22.25;8.82;8.18
Sao Luis;36.41;-21.76;8.94;8.16
Caxias do Sul;36.39;-20.32;9.06;8.31
Salvador;35.75;-25.64;9.57;9.47
Santos;35.38;-24.54;9.45;9.66
Jundiai;35.27;-20.71;9.86;10.58
SJRP;35.07;-22.23;9.63;10.04
Fortaleza;34.69;-23.8;10.33;10.15
Curitiba;32.92;-30.22;3.81;-6.13
Belém;27.12;-27.12;17.34;18.84
Porto Alegre;20.99;-17.11;17.53;18.13
Campinas;9.63;-9.63;38.22;2.64
Brasília;0.0;0.0;0.0;0.0
Belo Horizonte;0.0;29.21;0.0;0.0
