;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1
HIRING_SAMPLE_SIZE;19.948808;19.944587;20.017868;19.951240;19.951392;19.950675
LABOR_MARKET;0.746682;0.746599;0.748041;0.741885;0.741575;0.743040
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.598673;0.598758;0.597283;0.598496;0.598396;0.598868
MARKUP;0.150000;0.149952;0.150784;0.150062;0.150057;0.150080
MAX_LOAN_TO_VALUE;0.598673;0.598742;0.597544;0.598879;0.598843;0.599015
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.000100;0.000100;0.000100;0.000100;0.000100;0.000100
NEIGHBORHOOD_EFFECT;2.994312;2.994348;2.993730;2.993603;2.994310;2.990968
OFFER_SIZE_ON_PRICE;2.000000;2.000000;2.000000;1.999259;1.999175;1.999571
PCT_DISTANCE_HIRING;0.302654;0.302791;0.300418;0.306447;0.307062;0.304154
PERCENTAGE_ACTUAL_POP;0.009965;0.009967;0.009922;0.010142;0.011283;0.005888
PERCENTAGE_ENTERING_ESTATE_MARKET;0.004779;0.004772;0.004880;0.004982;0.005001;0.004911
PERCENT_CONSTRUCTION_FIRMS;0.030171;0.030178;0.030047;0.030156;0.030159;0.030143
POLICY_COEFFICIENT;0.214653;0.214907;0.210502;0.208845;0.209033;0.208141
POLICY_DAYS;323.808234;323.475762;329.247649;354.125076;356.864637;343.909943
POLICY_QUANTILE;0.179135;0.178923;0.182602;0.199579;0.200442;0.196362
PRIVATE_TRANSIT_COST;0.250000;0.250000;0.250000;0.249904;0.249907;0.249893
PRODUCTIVITY_EXPONENT;0.598009;0.597916;0.599530;0.598146;0.598057;0.598477
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.086268;12.087740;12.062173;11.775679;11.777887;11.767445
PUBLIC_TRANSIT_COST;0.052654;0.052722;0.051541;0.097297;0.097968;0.094795
SIZE_MARKET;10.004740;10.005605;9.990596;10.003898;10.003063;10.007012
STICKY_PRICES;0.500000;0.499923;0.501254;0.500399;0.500324;0.500679
TAX_ESTATE_TRANSACTION;0.004987;0.004988;0.004969;0.004985;0.004984;0.004988
TOTAL_DAYS;3735.112676;3733.543303;3760.788401;4435.522870;4457.573895;4353.300170
ALTERNATIVE0_False;0.003792;0.003641;0.006270;0.499982;0.499849;0.500479
ALTERNATIVE0_True;0.996208;0.996359;0.993730;0.500018;0.500151;0.499521
FPM_DISTRIBUTION_False;0.003792;0.003641;0.006270;0.498480;0.498886;0.496968
FPM_DISTRIBUTION_True;0.996208;0.996359;0.993730;0.501520;0.501114;0.503032
INTEREST_fixed;0.001896;0.001916;0.001567;0.334603;0.333901;0.337219
INTEREST_nominal;0.001896;0.001916;0.001567;0.331235;0.331124;0.331651
INTEREST_real;0.996208;0.996168;0.996865;0.334162;0.334976;0.331131
POLICIES_buy;0.121885;0.122437;0.112853;0.249732;0.305547;0.041613
POLICIES_no_policy;0.634345;0.632592;0.663009;0.249333;0.260470;0.207805
POLICIES_rent;0.121885;0.123012;0.103448;0.250945;0.221140;0.362080
POLICIES_wage;0.121885;0.121958;0.120690;0.249990;0.212843;0.388502
PROCESSING_ACPS_ARACAJU;0.010563;0.010922;0.004702;0.021927;0.022796;0.018690
PROCESSING_ACPS_BELEM;0.010563;0.010251;0.015674;0.021835;0.020446;0.027013
PROCESSING_ACPS_BELO HORIZONTE;0.020043;0.020502;0.012539;0.021397;0.005815;0.079502
PROCESSING_ACPS_BRASILIA;0.486728;0.485821;0.501567;0.022040;0.027951;0.000000
PROCESSING_ACPS_CAMPINA GRANDE;0.010563;0.010922;0.004702;0.021513;0.022063;0.019459
PROCESSING_ACPS_CAMPINAS;0.020043;0.019831;0.023511;0.022080;0.016540;0.042736
PROCESSING_ACPS_CAMPO GRANDE;0.010563;0.010538;0.010972;0.021495;0.022073;0.019341
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.010563;0.010443;0.012539;0.021493;0.022139;0.019080
PROCESSING_ACPS_CAXIAS DO SUL;0.010563;0.010826;0.006270;0.021898;0.022913;0.018111
PROCESSING_ACPS_CRAJUBAR;0.010563;0.010538;0.010972;0.021460;0.022076;0.019163
PROCESSING_ACPS_CUIABA;0.010563;0.010826;0.006270;0.021630;0.022266;0.019258
PROCESSING_ACPS_CURITIBA;0.010563;0.010251;0.015674;0.022163;0.014914;0.049191
PROCESSING_ACPS_FEIRA DE SANTANA;0.010563;0.010826;0.006270;0.021958;0.022542;0.019778
PROCESSING_ACPS_FLORIANOPOLIS;0.010563;0.010251;0.015674;0.021837;0.022352;0.019920
PROCESSING_ACPS_FORTALEZA;0.020043;0.020119;0.018809;0.021982;0.022986;0.018241
PROCESSING_ACPS_GOIANIA;0.010563;0.010538;0.010972;0.021833;0.022704;0.018584
PROCESSING_ACPS_ILHEUS - ITABUNA;0.010563;0.010538;0.010972;0.021580;0.022434;0.018395
PROCESSING_ACPS_IPATINGA;0.010563;0.010251;0.015674;0.021747;0.022368;0.019435
PROCESSING_ACPS_JOAO PESSOA;0.010563;0.010826;0.006270;0.021715;0.022051;0.020464
PROCESSING_ACPS_JOINVILLE;0.002979;0.002970;0.003135;0.021923;0.022177;0.020972
PROCESSING_ACPS_JUIZ DE FORA;0.010563;0.010826;0.006270;0.021205;0.021600;0.019731
PROCESSING_ACPS_JUNDIAI;0.010563;0.010826;0.006270;0.021315;0.021879;0.019211
PROCESSING_ACPS_LONDRINA;0.010563;0.010826;0.006270;0.021815;0.022168;0.020499
PROCESSING_ACPS_MACAPA;0.010563;0.010538;0.010972;0.021583;0.022298;0.018915
PROCESSING_ACPS_MACEIO;0.010563;0.010443;0.012539;0.021900;0.022571;0.019400
PROCESSING_ACPS_MANAUS;0.010563;0.010922;0.004702;0.021730;0.022222;0.019896
PROCESSING_ACPS_MARINGA;0.010563;0.010443;0.012539;0.021535;0.022073;0.019530
PROCESSING_ACPS_NATAL;0.010563;0.010634;0.009404;0.021650;0.022349;0.019045
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.010563;0.010443;0.012539;0.022200;0.023011;0.019175
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.010563;0.010826;0.006270;0.021718;0.022374;0.019270
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.010563;0.010730;0.007837;0.022003;0.022624;0.019683
PROCESSING_ACPS_PORTO ALEGRE;0.020043;0.020119;0.018809;0.021895;0.024806;0.011042
PROCESSING_ACPS_RECIFE;0.010563;0.010826;0.006270;0.021708;0.022380;0.019199
PROCESSING_ACPS_RIBEIRAO PRETO;0.010563;0.010347;0.014107;0.021740;0.022254;0.019825
PROCESSING_ACPS_RIO DE JANEIRO;0.018147;0.018107;0.018809;0.021815;0.020094;0.028231
PROCESSING_ACPS_SALVADOR;0.010563;0.010347;0.014107;0.021433;0.022314;0.018147
PROCESSING_ACPS_SANTOS;0.010563;0.010538;0.010972;0.022142;0.023113;0.018525
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.010563;0.010059;0.018809;0.022060;0.022970;0.018667
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.010563;0.010538;0.010972;0.021700;0.022276;0.019553
PROCESSING_ACPS_SAO LUIS;0.010563;0.010347;0.014107;0.021818;0.022704;0.018513
PROCESSING_ACPS_SAO PAULO;0.010563;0.010634;0.009404;0.021138;0.018763;0.029992
PROCESSING_ACPS_SOROCABA;0.010563;0.010826;0.006270;0.021638;0.022254;0.019341
PROCESSING_ACPS_TERESINA;0.010563;0.010634;0.009404;0.021590;0.022399;0.018572
PROCESSING_ACPS_UBERLANDIA;0.010563;0.010347;0.014107;0.021948;0.022463;0.020026
PROCESSING_ACPS_VITORIA;0.010563;0.010155;0.017241;0.021625;0.022263;0.019246
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.010563;0.010730;0.007837;0.021595;0.022174;0.019435
STARTING_DAY_2000-01-01;0.007584;0.007281;0.012539;0.501147;0.501365;0.500337
STARTING_DAY_2010-01-01;0.992416;0.992719;0.987461;0.498852;0.498635;0.499663
T_LICENSES_PER_REGION_False;0.001896;0.001916;0.001567;0.332755;0.332794;0.332608
T_LICENSES_PER_REGION_True;0.001896;0.001820;0.003135;0.333773;0.333837;0.333530
T_LICENSES_PER_REGION_random;0.996208;0.996264;0.995298;0.333473;0.333368;0.333861
WAGE_IGNORE_UNEMPLOYMENT_True;0.001896;0.001916;0.001567;1.000000;1.000000;1.000000
