;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_Voting;Voting_0;Voting_1
CONSTRUCTION_ACC_CASH_FLOW;23.917100;23.893269;24.063757;23.927234;23.923190;23.934103;23.927234;24.306877;22.369131
HIRING_SAMPLE_SIZE;19.898259;19.909887;19.826701;19.886947;19.842989;19.961608;19.886947;19.765933;20.383599
LABOR_MARKET;0.743406;0.743638;0.741977;0.716786;0.715100;0.719649;0.716786;0.716382;0.718444
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.597362;0.597427;0.596962;0.596952;0.596168;0.598283;0.596952;0.596854;0.597353
LOT_COST;0.150942;0.150960;0.150834;0.151015;0.151262;0.150595;0.151015;0.151035;0.150931
MARKUP;0.150000;0.149927;0.150449;0.149816;0.149819;0.149809;0.149816;0.149817;0.149811
MAX_LOAN_TO_VALUE;0.597362;0.597434;0.596919;0.597056;0.596402;0.598167;0.597056;0.596888;0.597749
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.000100;0.000100;0.000100;0.000101;0.000101;0.000100;0.000101;0.000101;0.000100
NEIGHBORHOOD_EFFECT;2.988695;2.987902;2.993582;2.978465;2.978789;2.977915;2.978465;2.978890;2.976721
OFFER_SIZE_ON_PRICE;2.000000;1.999374;2.003851;2.004845;2.005857;2.003125;2.004845;2.004301;2.007076
PCT_DISTANCE_HIRING;0.305275;0.305479;0.304022;0.321897;0.323162;0.319747;0.321897;0.322153;0.320845
PERCENTAGE_ACTUAL_POP;0.010164;0.010151;0.010244;0.010529;0.010652;0.010320;0.010529;0.010566;0.010378
PERCENTAGE_ENTERING_ESTATE_MARKET;0.005054;0.005083;0.004877;0.005001;0.005052;0.004914;0.005001;0.005009;0.004968
PERCENT_CONSTRUCTION_FIRMS;0.030339;0.030348;0.030282;0.030418;0.030484;0.030307;0.030418;0.030429;0.030372
POLICY_COEFFICIENT;0.200090;0.200000;0.200642;0.200476;0.198660;0.203559;0.200476;0.200263;0.201350
POLICY_DAYS;340.330163;340.100125;341.745828;349.388074;361.486277;328.839606;349.388074;327.431198;439.501817
POLICY_QUANTILE;0.187565;0.187192;0.189859;0.199007;0.205904;0.187294;0.199007;0.199348;0.197611
PRIVATE_TRANSIT_COST;0.250000;0.250104;0.249358;0.249973;0.250049;0.249843;0.249973;0.250010;0.249820
PRODUCTIVITY_EXPONENT;0.596043;0.595870;0.597112;0.591740;0.588286;0.597607;0.591740;0.591011;0.594731
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.171452;12.162738;12.225075;11.407821;11.681556;10.942889;11.407821;12.056925;8.743815
PUBLIC_TRANSIT_COST;0.055275;0.055020;0.056846;0.118249;0.119306;0.116454;0.118249;0.118448;0.117431
SIZE_MARKET;10.009420;10.008292;10.016367;10.028070;10.034830;10.016588;10.028070;10.030376;10.018604
STICKY_PRICES;0.500000;0.500278;0.498288;0.499858;0.499726;0.500083;0.499858;0.499982;0.499350
TAX_ESTATE_TRANSACTION;0.004974;0.004972;0.004985;0.004971;0.004966;0.004980;0.004971;0.004970;0.004977
TAX_PROPERTY;0.004974;0.004973;0.004978;0.004969;0.004970;0.004967;0.004969;0.004969;0.004971
TOTAL_DAYS;3817.181410;3816.590738;3820.816431;5123.260851;5299.156231;4824.507358;5123.260851;4668.239377;6990.725463
ALTERNATIVE0_False;0.007536;0.007927;0.005135;0.499370;0.500709;0.497096;0.499370;0.499535;0.498693
ALTERNATIVE0_True;0.992464;0.992073;0.994865;0.500630;0.499291;0.502904;0.500630;0.500465;0.501307
FPM_DISTRIBUTION_False;0.007536;0.007718;0.006418;0.500048;0.500651;0.499023;0.500048;0.499711;0.501429
FPM_DISTRIBUTION_True;0.992464;0.992282;0.993582;0.499952;0.499349;0.500977;0.499952;0.500289;0.498571
