;tot_current;current_0;current_1;tot_Tree;Tree_0;Tree_1;tot_MPL;MPL_0;MPL_1;tot_SVC;SVC_0;SVC_1;tot_Voting;Voting_0;Voting_1
CONSTRUCTION_ACC_CASH_FLOW;23.917100;23.887280;24.023167;23.898615;23.997549;23.848418;23.898615;23.895797;24.097123;23.898615;23.921057;23.877532;23.898615;24.110000;23.224432
HIRING_SAMPLE_SIZE;19.898259;19.900230;19.891251;19.875685;19.816575;19.905677;19.875685;19.878847;19.653035;19.875685;19.817811;19.930057;19.875685;19.793578;20.137553
LABOR_MARKET;0.743406;0.744249;0.740406;0.738273;0.737610;0.738609;0.738273;0.738424;0.727636;0.738273;0.738610;0.737956;0.738273;0.736991;0.742361
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.597362;0.597387;0.597274;0.598865;0.597594;0.599510;0.598865;0.598885;0.597420;0.598865;0.598470;0.599236;0.598865;0.598046;0.601476
LOT_COST;0.150942;0.150977;0.150818;0.151452;0.151827;0.151262;0.151452;0.151443;0.152092;0.151452;0.151015;0.151863;0.151452;0.151703;0.150652
MARKUP;0.150000;0.149851;0.150531;0.150079;0.150667;0.149780;0.150079;0.150040;0.152840;0.150079;0.150692;0.149503;0.150079;0.150263;0.149490
MAX_LOAN_TO_VALUE;0.597362;0.597356;0.597383;0.597558;0.598965;0.596845;0.597558;0.597671;0.589631;0.597558;0.597486;0.597627;0.597558;0.597755;0.596930
MUNICIPAL_EFFICIENCY_MANAGEMENT;0.000100;0.000100;0.000100;0.000100;0.000101;0.000100;0.000100;0.000100;0.000098;0.000100;0.000100;0.000100;0.000100;0.000101;0.000099
NEIGHBORHOOD_EFFECT;2.988695;2.986207;2.997547;2.990439;2.997799;2.986704;2.990439;2.990155;3.010419;2.990439;2.980538;2.999740;2.990439;2.988224;2.997504
OFFER_SIZE_ON_PRICE;2.000000;2.000000;2.000000;2.006429;2.009737;2.004751;2.006429;2.006427;2.006609;2.006429;2.002625;2.010004;2.006429;2.006705;2.005551
PCT_DISTANCE_HIRING;0.305275;0.305563;0.304252;0.307036;0.307471;0.306816;0.307036;0.306818;0.322395;0.307036;0.307117;0.306960;0.307036;0.307474;0.305640
PERCENTAGE_ACTUAL_POP;0.010164;0.010162;0.010172;0.010221;0.010515;0.010072;0.010221;0.010216;0.010617;0.010221;0.010167;0.010272;0.010221;0.010303;0.009961
PERCENTAGE_ENTERING_ESTATE_MARKET;0.005054;0.005058;0.005041;0.005055;0.005163;0.005001;0.005055;0.005055;0.005101;0.005055;0.005070;0.005042;0.005055;0.005116;0.004862
PERCENT_CONSTRUCTION_FIRMS;0.030339;0.030349;0.030303;0.030417;0.030438;0.030406;0.030417;0.030419;0.030246;0.030417;0.030482;0.030355;0.030417;0.030486;0.030196
POLICY_COEFFICIENT;0.200090;0.200115;0.200000;0.200354;0.198509;0.201291;0.200354;0.200330;0.202075;0.200354;0.200778;0.199956;0.200354;0.200339;0.200403
POLICY_DAYS;340.330163;340.137931;341.013900;339.918626;353.780443;332.885331;339.918626;343.015844;121.785953;339.918626;395.485884;287.713855;339.918626;360.735534;273.526032
POLICY_QUANTILE;0.187565;0.187103;0.189207;0.187070;0.190295;0.185433;0.187070;0.187049;0.188507;0.187070;0.187772;0.186410;0.187070;0.188635;0.182077
PRIVATE_TRANSIT_COST;0.250000;0.250192;0.249319;0.250235;0.249543;0.250586;0.250235;0.250230;0.250592;0.250235;0.250245;0.250225;0.250235;0.249923;0.251230
PRODUCTIVITY_EXPONENT;0.596043;0.595448;0.598160;0.593609;0.583040;0.598972;0.593609;0.593514;0.600313;0.593609;0.595643;0.591698;0.593609;0.592481;0.597207
PRODUCTIVITY_MAGNITUDE_DIVISOR;12.171452;12.165747;12.191742;11.886657;12.384697;11.633958;11.886657;11.890943;11.584779;11.886657;11.978820;11.800070;11.886657;12.302301;10.561017
PUBLIC_TRANSIT_COST;0.055275;0.055103;0.055887;0.087677;0.088393;0.087314;0.087677;0.087679;0.087538;0.087677;0.087837;0.087527;0.087677;0.088530;0.084956
SIZE_MARKET;10.009420;10.005230;10.024325;10.009307;9.985699;10.021286;10.009307;10.009534;9.993305;10.009307;9.990246;10.027215;10.009307;10.007393;10.015413
STICKY_PRICES;0.500000;0.500092;0.499673;0.499506;0.499856;0.499328;0.499506;0.499499;0.499975;0.499506;0.497934;0.500983;0.499506;0.499348;0.500009
TAX_ESTATE_TRANSACTION;0.004974;0.004970;0.004987;0.004968;0.004934;0.004985;0.004968;0.004969;0.004881;0.004968;0.004977;0.004959;0.004968;0.004961;0.004990
TAX_PROPERTY;0.004974;0.004969;0.004990;0.004971;0.004950;0.004981;0.004971;0.004971;0.004969;0.004971;0.004967;0.004975;0.004971;0.004976;0.004956
TOTAL_DAYS;3817.181410;3819.114253;3810.306623;4402.076404;4438.878920;4383.403316;4402.076404;4360.068485;7360.634131;4402.076404;3409.205420;5334.866755;4402.076404;4367.742841;4511.578462
