;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference_optimals;difference;p_value;reject_null_hypothesis
HIRING_SAMPLE_SIZE;0.047545275440250404;0.004652519605380308;-0.005088758689929091;-0.001263141547570684;0.042892755834870094;0.04971009007312131;0.960353415686444;no
LABOR_MARKET;0.016194081202840195;0.00382642847879771;-0.001629925389379948;-0.001038860918650099;0.012367652724042486;0.016932536446761057;0.9864904361532705;no
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.007330076439872936;0.0015720119411685807;-0.0007698630035325464;-0.0004267953205418873;0.005758064498704356;0.007663790454964919;0.9938852397758796;no
MARKUP;-2.3853082086768936e-13;-0.00016721256317710418;-7.177182226627901e-14;4.5397581083371713e-05;0.00016721256293857336;-1.9511016490673148e-13;0.9999999999998443;no
MAX_LOAN_TO_VALUE;0.007330076439871817;0.0005491950432755889;-0.0007658518139322719;-0.00014910438552336868;0.006780881396596229;0.007663790454966051;0.9938852397758787;no
MUNICIPAL_EFFICIENCY_MANAGEMENT;-2.4529605581432143e-05;-1.6305466630393346e-05;2.5792651961316755e-06;4.4268727712214605e-06;-8.224138951038797e-06;-2.564574688714106e-05;0.9999795376545108;no
NEIGHBORHOOD_EFFECT;-0.3216076407756727;-0.005391265233430703;0.034978072061300644;0.0014637082029690344;-0.316216375542242;-0.4293741383641761;0.6676509712055675;no
OFFER_SIZE_ON_PRICE;0.0;-0.0017117617924856717;0.0;0.0004647368787427167;0.0017117617924856717;0.0;1.0;no
PCT_DISTANCE_HIRING;-0.012554192830586198;-0.004739695890193113;0.0012976382656899855;0.0012868095806669055;-0.007814496940393083;-0.013126121961013334;0.9895271706811125;no
PERCENTAGE_ACTUAL_POP;-0.05278581729575255;-0.06472356206429299;0.005599300181866228;0.01757220329925132;0.011937744768540433;-0.060042061962383056;0.9521221344984133;no
PERCENTAGE_ENTERING_ESTATE_MARKET;-0.0050448404198902485;-0.001146161306850155;0.0002971150925414517;0.0003111784774417197;-0.0038986791130400933;-0.0052750553913589555;0.9957911342653271;no
PERCENT_CONSTRUCTION_FIRMS;-0.0034699128060336013;-0.00030384222647059593;0.0003606481664192981;8.249201997281939e-05;-0.0031660705795630052;-0.0036280715892948855;0.9971052240440249;no
POLICY_COEFFICIENT;-0.004972778238341305;-0.0021319568369098842;0.0004619543128395675;0.0005788182505205481;-0.0028408214014314205;-0.00528515948709757;0.9957830724757166;no
POLICY_DAYS;-2.4487278209538688;-0.8359567187237715;0.2429670011801436;0.22695910024609764;-1.6127711022300972;-2.61597124966356;0.008897404896558622;yes
POLICY_QUANTILE;-0.05239560012496368;-0.00952391096536089;0.0051573222971488366;0.002585705952349402;-0.04287168915960279;-0.05582888869708417;0.9554781209753122;no
PRIVATE_TRANSIT_COST;-4.0061043896581823e-16;-0.0009575570954742192;0.0;0.0002599731444806958;0.0009575570954738186;-3.9471247095214486e-16;0.9999999999999997;no
PRODUCTIVITY_EXPONENT;0.010134270656874776;0.0004635709540629559;-0.0010609053799833133;-0.00012585776784082608;0.00967069970281182;0.010595815889143531;0.9915459202850122;no
PRODUCTIVITY_MAGNITUDE_DIVISOR;-0.06960348440397557;-0.00873243209108108;0.006832574606040579;0.0023708224194352256;-0.06087105231289449;-0.07277398443895083;0.9419859734598071;no
PUBLIC_TRANSIT_COST;-0.01535722399075848;-0.009992508909456983;0.0013988874886390805;0.0027129285290565155;-0.005364715081301498;-0.016057922678698107;0.9871881820210369;no
SIZE_MARKET;-0.005852969754698342;0.0009294973721978572;0.0006093031177566663;-0.0002523550355342182;-0.0067824671268962;-0.006119287633817806;0.995117545345024;no
STICKY_PRICES;-6.3342072112526e-16;-0.00016466712668344535;0.0;4.470650464418842e-05;0.00016466712668281193;-6.240952148752508e-16;0.9999999999999996;no
TAX_ESTATE_TRANSACTION;0.0008274597341327162;3.4175101234398384e-05;-8.737776351038248e-05;-9.278411264121496e-06;0.0007932846328983178;0.0008651447445417016;0.9993097144515808;no
TOTAL_DAYS;-3.1269303442822727;-1.805920917721358;0.2926891073988481;0.4903007266048014;-1.3210094265609147;-3.2698989662352913;0.0010758590323771658;yes
