;z_simulated_optimal;z_ml_optimal;z_simulated_non_optimal;z_ml_non_optimal;difference_optimals;difference;p_value;reject_null_hypothesis
HIRING_SAMPLE_SIZE;0.047545275440250404;0.004652519605380308;-0.005088758689929091;-0.001263141547570684;0.042892755834870094;-0.003331298328705671;0.9973420134122875;no
LABOR_MARKET;0.016194081202840195;0.00382642847879771;-0.001629925389379948;-0.001038860918650099;0.012367652724042486;0.010321298222713812;0.9917649417132719;no
LOAN_PAYMENT_TO_PERMANENT_INCOME;0.007330076439872936;0.0015720119411685807;-0.0007698630035325464;-0.0004267953205418873;0.005758064498704356;-0.0019915244163504217;0.9984109944661097;no
MARKUP;-2.3853082086768936e-13;-0.00016721256317710418;-7.177182226627901e-14;4.5397581083371713e-05;0.00016721256293857336;-0.00012393680120578268;0.9999011127400558;no
MAX_LOAN_TO_VALUE;0.007330076439871817;0.0005491950432755889;-0.0007658518139322719;-0.00014910438552336868;0.006780881396596229;-0.0011839748439945183;0.9990553249723048;no
MUNICIPAL_EFFICIENCY_MANAGEMENT;-2.4529605581432143e-05;-1.6305466630393346e-05;2.5792651961316755e-06;4.4268727712214605e-06;-8.224138951038797e-06;2.0184571543568175e-05;0.999983895042;no
NEIGHBORHOOD_EFFECT;-0.3216076407756727;-0.005391265233430703;0.034978072061300644;0.0014637082029690344;-0.316216375542242;0.006742769949539931;0.9946200887264772;no
OFFER_SIZE_ON_PRICE;0.0;-0.0017117617924856717;0.0;0.0004647368787427167;0.0017117617924856717;0.0022117465123959084;0.9982352830441302;no
PCT_DISTANCE_HIRING;-0.012554192830586198;-0.004739695890193113;0.0012976382656899855;0.0012868095806669055;-0.007814496940393083;-0.005098169795314002;0.9959322666529453;no
PERCENTAGE_ACTUAL_POP;-0.05278581729575255;-0.06472356206429299;0.005599300181866228;0.01757220329925132;0.011937744768540433;0.0727187948381968;0.9420298920269327;no
PERCENTAGE_ENTERING_ESTATE_MARKET;-0.0050448404198902485;-0.001146161306850155;0.0002971150925414517;0.0003111784774417197;-0.0038986791130400933;-0.002746953821329481;0.9978082507131237;no
PERCENT_CONSTRUCTION_FIRMS;-0.0034699128060336013;-0.00030384222647059593;0.0003606481664192981;8.249201997281939e-05;-0.0031660705795630052;0.000624833834698008;0.9995014547626673;no
POLICY_COEFFICIENT;-0.004972778238341305;-0.0021319568369098842;0.0004619543128395675;0.0005788182505205481;-0.0028408214014314205;0.021365329783949828;0.9829542300733429;no
POLICY_DAYS;-2.4487278209538688;-0.8359567187237715;0.2429670011801436;0.22695910024609764;-1.6127711022300972;-1.3546131431286812;0.1755408437875453;no
POLICY_QUANTILE;-0.05239560012496368;-0.00952391096536089;0.0051573222971488366;0.002585705952349402;-0.04287168915960279;-0.05209943066346903;0.9584494666164863;no
PRIVATE_TRANSIT_COST;-4.0061043896581823e-16;-0.0009575570954742192;0.0;0.0002599731444806958;0.0009575570954738186;0.0008250250466001708;0.9993417253277196;no
PRODUCTIVITY_EXPONENT;0.010134270656874776;0.0004635709540629559;-0.0010609053799833133;-0.00012585776784082608;0.00967069970281182;-0.001309470168377676;0.9989551942684097;no
PRODUCTIVITY_MAGNITUDE_DIVISOR;-0.06960348440397557;-0.00873243209108108;0.006832574606040579;0.0023708224194352256;-0.06087105231289449;0.16236149386141063;0.8710211919000357;no
PUBLIC_TRANSIT_COST;-0.01535722399075848;-0.009992508909456983;0.0013988874886390805;0.0027129285290565155;-0.005364715081301498;-0.16289602953674603;0.8706002970449138;no
SIZE_MARKET;-0.005852969754698342;0.0009294973721978572;0.0006093031177566663;-0.0002523550355342182;-0.0067824671268962;0.0011847277354472912;0.9990547242522599;no
STICKY_PRICES;-6.3342072112526e-16;-0.00016466712668344535;0.0;4.470650464418842e-05;0.00016466712668281193;-7.191964383791107e-05;0.9999426164266128;no
TAX_ESTATE_TRANSACTION;0.0008274597341327162;3.4175101234398384e-05;-8.737776351038248e-05;-9.278411264121496e-06;0.0007932846328983178;-2.1620014350879578e-05;0.9999827497243464;no
TOTAL_DAYS;-3.1269303442822727;-1.805920917721358;0.2926891073988481;0.4903007266048014;-1.3210094265609147;-15.722708504782528;1.0570649973280926e-55;yes
